motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FF,n_FB,n_lat,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
930376,mixed,lat->mix,lat,mix,1,0,3,908,59,25.259,418,0.46,AL,2,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL2 -> [ALL3, AL.PLPL2]",AL.LH,2,AL.MB_CA,2,AL,3,AL.PLP,2
712532,mixed,mix->lat,mix,lat,0,1,3,908,62,22.745,418,0.46,AL,2,2,2,"[ALL3, AL.MB_CAL2] -> ALL2 -> [AL.LHL2, AL.PLPL2]",AL,3,AL.MB_CA,2,AL.LH,2,AL.PLP,2
674557,mixed,mix->lat,mix,lat,0,1,3,908,61,24.079,418,0.46,AL,2,2,2,"[ALL3, AL.LHL2] -> ALL2 -> [AL.MB_CAL2, AL.PLPL2]",AL,3,AL.LH,2,AL.MB_CA,2,AL.PLP,2
627556,mixed,lat->mix,lat,mix,1,0,3,908,27,14.204,418,0.46,AL,2,2,2,"[AL.MB_CAL2, AL.PLPL2] -> ALL2 -> [ALL3, AL.LHL2]",AL.MB_CA,2,AL.PLP,2,AL,3,AL.LH,2
584222,mixed,lat->mix,lat,mix,1,0,3,908,27,16.482,418,0.46,AL,2,2,2,"[AL.LHL2, AL.PLPL2] -> ALL2 -> [ALL3, AL.MB_CAL2]",AL.LH,2,AL.PLP,2,AL,3,AL.MB_CA,2
566336,mixed,lat->FF,lat,FF,2,0,2,908,27,10.244,463,0.51,AL,2,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL2 -> [ALL3, AL.LHL3]",AL.LH,2,AL.MB_CA,2,AL,3,AL.LH,3
463770,mixed,mix->lat,mix,lat,0,1,3,908,28,16.74,418,0.46,AL,2,2,2,"[ALL3, AL.PLPL2] -> ALL2 -> [AL.LHL2, AL.MB_CAL2]",AL,3,AL.PLP,2,AL.LH,2,AL.MB_CA,2
437459,mixed,mix->mix,mix,mix,1,1,2,908,32,6.516,463,0.51,AL,2,2,2,"[ALL3, AL.MB_CAL2] -> ALL2 -> [AL.LHL2, AL.LHL3]",AL,3,AL.MB_CA,2,AL.LH,2,AL.LH,3
366368,mixed,lat->mix,lat,mix,1,0,3,908,17,11.336,394,0.434,AL,2,2,2,"[AL.LHL2, LH.ALL2] -> ALL2 -> [ALL3, AL.MB_CAL2]",AL.LH,2,LH.AL,2,AL,3,AL.MB_CA,2
354088,mixed,lat->mix,lat,mix,1,0,3,908,17,10.746,394,0.434,AL,2,2,2,"[AL.MB_CAL2, LH.ALL2] -> ALL2 -> [ALL3, AL.LHL2]",AL.MB_CA,2,LH.AL,2,AL,3,AL.LH,2
348632,mixed,lat->FF,lat,FF,2,0,2,908,25,14.46,393,0.433,AL,2,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL2 -> [ALL3, AL.SMPL3]",AL.LH,2,AL.MB_CA,2,AL,3,AL.SMP,3
344287,mixed,mix->mix,mix,mix,1,1,2,908,31,7.029,463,0.51,AL,2,2,2,"[ALL3, AL.LHL2] -> ALL2 -> [AL.LHL3, AL.MB_CAL2]",AL,3,AL.LH,2,AL.LH,3,AL.MB_CA,2
313838,mixed,mix->mix,mix,mix,1,1,2,908,25,11.25,393,0.433,AL,2,2,2,"[ALL3, AL.MB_CAL2] -> ALL2 -> [AL.LHL2, AL.SMPL3]",AL,3,AL.MB_CA,2,AL.LH,2,AL.SMP,3
310459,mixed,mix->lat,mix,lat,0,1,3,908,18,8.659,394,0.434,AL,2,2,2,"[ALL3, LH.ALL2] -> ALL2 -> [AL.LHL2, AL.MB_CAL2]",AL,3,LH.AL,2,AL.LH,2,AL.MB_CA,2
293781,mixed,mix->mix,mix,mix,1,1,2,908,25,11.808,393,0.433,AL,2,2,2,"[ALL3, AL.LHL2] -> ALL2 -> [AL.MB_CAL2, AL.SMPL3]",AL,3,AL.LH,2,AL.MB_CA,2,AL.SMP,3
235861,mixed,lat->mix,lat,mix,1,0,3,908,16,9.583,392,0.432,AL,2,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL2 -> [ALL3, AL.VESL2]",AL.LH,2,AL.MB_CA,2,AL,3,AL.VES,2
192066,mixed,lat->mix,lat,mix,1,0,3,908,30,15.58,482,0.531,AL,2,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL2 -> [ALL3, LHL2]",AL.LH,2,AL.MB_CA,2,AL,3,LH,2
188554,mixed,lat->mix,lat,mix,1,0,3,908,12,7.436,397,0.437,AL,2,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL2 -> [ALL3, AL.WEDL2]",AL.LH,2,AL.MB_CA,2,AL,3,AL.WED,2
178024,mixed,mix->lat,mix,lat,0,1,3,908,28,14.221,482,0.531,AL,2,2,2,"[ALL3, AL.MB_CAL2] -> ALL2 -> [AL.LHL2, LHL2]",AL,3,AL.MB_CA,2,AL.LH,2,LH,2
170001,mixed,mix->lat,mix,lat,0,1,3,908,19,11.192,392,0.432,AL,2,2,2,"[ALL3, AL.MB_CAL2] -> ALL2 -> [AL.LHL2, AL.VESL2]",AL,3,AL.MB_CA,2,AL.LH,2,AL.VES,2
473969,mixed,FF->mix,FF,mix,3,1,0,36,13,4.194,1270,35.278,AL,3,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL3 -> [ALL2, ALL4]",AL.LH,2,AL.MB_CA,2,AL,2,AL,4
431547,mixed,FF->mix,FF,mix,3,1,0,36,13,4.312,1270,35.278,AL,3,2,2,"[ALL2, AL.MB_CAL2] -> ALL3 -> [ALL4, AL.LHL2]",AL,2,AL.MB_CA,2,AL,4,AL.LH,2
406146,mixed,FF->FB,FF,FB,2,2,0,36,9,1.797,1290,35.833,AL,3,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL3 -> [ALL2, AL.PLPL2]",AL.LH,2,AL.MB_CA,2,AL,2,AL.PLP,2
392951,mixed,FF->FB,FF,FB,2,2,0,36,9,1.686,1290,35.833,AL,3,2,2,"[ALL2, AL.MB_CAL2] -> ALL3 -> [AL.LHL2, AL.PLPL2]",AL,2,AL.MB_CA,2,AL.LH,2,AL.PLP,2
360164,mixed,mix->FB,mix,FB,1,3,0,36,13,3.331,1270,35.278,AL,3,2,2,"[ALL4, AL.MB_CAL2] -> ALL3 -> [ALL2, AL.LHL2]",AL,4,AL.MB_CA,2,AL,2,AL.LH,2
323801,mixed,FF->mix,FF,mix,3,1,0,36,13,3.582,1270,35.278,AL,3,2,2,"[ALL2, AL.LHL2] -> ALL3 -> [ALL4, AL.MB_CAL2]",AL,2,AL.LH,2,AL,4,AL.MB_CA,2
311330,mixed,FF->mix,FF,mix,2,1,1,36,15,7.134,1335,37.083,AL,3,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL3 -> [ALL2, AL.LHL3]",AL.LH,2,AL.MB_CA,2,AL,2,AL.LH,3
289744,mixed,FF->mix,FF,mix,2,1,1,36,15,7.203,1335,37.083,AL,3,2,2,"[ALL2, AL.MB_CAL2] -> ALL3 -> [AL.LHL2, AL.LHL3]",AL,2,AL.MB_CA,2,AL.LH,2,AL.LH,3
287849,mixed,mix->FB,mix,FB,1,3,0,36,13,2.445,1270,35.278,AL,3,2,2,"[ALL4, AL.LHL2] -> ALL3 -> [ALL2, AL.MB_CAL2]",AL,4,AL.LH,2,AL,2,AL.MB_CA,2
255949,mixed,mix->FB,mix,FB,1,3,0,36,15,2.798,1270,35.278,AL,3,2,2,"[ALL2, ALL4] -> ALL3 -> [AL.LHL2, AL.MB_CAL2]",AL,2,AL,4,AL.LH,2,AL.MB_CA,2
235755,mixed,FF->FB,FF,FB,2,2,0,36,9,1.802,1290,35.833,AL,3,2,2,"[ALL2, AL.LHL2] -> ALL3 -> [AL.MB_CAL2, AL.PLPL2]",AL,2,AL.LH,2,AL.MB_CA,2,AL.PLP,2
185276,mixed,FF->mix,FF,mix,2,1,1,36,15,6.34,1335,37.083,AL,3,2,2,"[ALL2, AL.LHL2] -> ALL3 -> [AL.LHL3, AL.MB_CAL2]",AL,2,AL.LH,2,AL.LH,3,AL.MB_CA,2
182736,mixed,FF->mix,FF,mix,2,1,1,36,12,7.505,1265,35.139,AL,3,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL3 -> [ALL2, AL.SMPL3]",AL.LH,2,AL.MB_CA,2,AL,2,AL.SMP,3
165292,mixed,FF->FB,FF,FB,2,2,0,36,2,1.199,1266,35.167,AL,3,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL3 -> [ALL2, LH.ALL2]",AL.LH,2,AL.MB_CA,2,AL,2,LH.AL,2
162900,mixed,FF->FB,FF,FB,2,2,0,36,2,1.165,1266,35.167,AL,3,2,2,"[ALL2, AL.MB_CAL2] -> ALL3 -> [AL.LHL2, LH.ALL2]",AL,2,AL.MB_CA,2,AL.LH,2,LH.AL,2
157833,mixed,FF->mix,FF,mix,2,1,1,36,12,8.725,1265,35.139,AL,3,2,2,"[ALL2, AL.MB_CAL2] -> ALL3 -> [AL.LHL2, AL.SMPL3]",AL,2,AL.MB_CA,2,AL.LH,2,AL.SMP,3
145464,mixed,FF->FB,FF,FB,2,2,0,36,7,3.107,1354,37.611,AL,3,2,2,"[ALL2, AL.MB_CAL2] -> ALL3 -> [AL.LHL2, LHL2]",AL,2,AL.MB_CA,2,AL.LH,2,LH,2
144374,mixed,FF->FB,FF,FB,2,2,0,36,7,3.094,1354,37.611,AL,3,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL3 -> [ALL2, LHL2]",AL.LH,2,AL.MB_CA,2,AL,2,LH,2
141420,mixed,FF->FB,FF,FB,2,2,0,36,6,2.974,1262,35.056,AL,3,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL3 -> [ALL2, AL.AVLPL2]",AL.LH,2,AL.MB_CA,2,AL,2,AL.AVLP,2
